id,school,location,date,description,L1,L2,clearance,actions,notes
8152,Roosevelt High School,Boys Restroom L 164 (1) ,12/22/01,Sink faucet for washing ,13,0,,,
8153,Roosevelt High School,Boys Restroom L 164 (4) ,12/22/01,Sink faucet for washing ,7,0,,,
8154,Roosevelt High School,Boys Restroom L164 (2) ,12/22/01,Sink faucet for washing ,11,0,,,
8155,Roosevelt High School,Boys Restroom L164 (3) ,12/22/01,Sink faucet for washing ,10,0,,,
8156,Roosevelt High School,Boys Restroom L164 (5) ,12/22/01,Sink faucet for washing ,11,0,,,
8157,Roosevelt High School,Boys Restroom Music Wing ,12/22/01,Sink faucet for washing ,8,0,,,
8158,Roosevelt High School,Boys Restroom Near 223 (1) ,12/22/01,Sink faucet for washing ,14,0,,,
8159,Roosevelt High School,Boys Restroom Near 223 (2) ,12/22/01,Sink faucet for washing ,67,0,,,
8160,Roosevelt High School,Boys Restroom Near 223 (3) ,12/22/01,Sink faucet for washing ,42,0,,,
8161,Roosevelt High School,Boys Restroom Near 223 (4) ,12/22/01,Sink faucet for washing ,11,0,,,
8162,Roosevelt High School,Boys Restroom Near 223 (5) ,12/22/01,Sink faucet for washing ,49,0,,,
8163,Roosevelt High School,Boys Restroom Near 223 (6) ,12/22/01,Sink faucet for washing ,263,0,,,
8164,Roosevelt High School,Boys Restroom Near Office (1) ,12/22/01,Sink faucet for washing ,0,0,,,
8165,Roosevelt High School,Boys Restroom Near Office (2) ,12/22/01,Sink faucet for washing ,0,0,,,
8166,Roosevelt High School,Boys Restroom Near Office (3) ,12/22/01,Sink faucet for washing ,0,0,,,
8167,Roosevelt High School,Boys Restroom Near Snack Bar ,12/22/01,Sink faucet for washing ,13,0,,,
8168,Roosevelt High School,Boys Restroom Near Snack Bar ,12/22/01,Sink faucet for washing ,12,0,,,
8169,Roosevelt High School,Boys Restroom Shop ,12/22/01,Sink faucet for washing ,8,0,,,
8170,Roosevelt High School,Class 111 ,12/22/01,Sink faucet for washing ,39,0,,,
8171,Roosevelt High School,Class 128 (1) ,12/22/01,Sink faucet for washing ,37,0,,,
8172,Roosevelt High School,Class 128 (2) ,12/22/01,Sink faucet for washing ,29,0,,,
8173,Roosevelt High School,Class 128 (3) ,12/22/01,Sink faucet for washing ,18,0,,,
8174,Roosevelt High School,Class 128 (4) ,12/22/01,Sink faucet for washing ,24,0,,,
8175,Roosevelt High School,Class 129 ,12/22/01,Sink faucet for washing ,47,0,,,
8176,Roosevelt High School,Class 129 (2) ,12/22/01,Sink faucet for washing ,36,0,,,
8177,Roosevelt High School,Class 129 (3) ,12/22/01,Sink faucet for washing ,39,0,,,
8178,Roosevelt High School,Class 129 (4) ,12/22/01,Sink faucet for washing ,104,0,,,
8179,Roosevelt High School,Class 129 (5) ,12/22/01,Sink faucet for washing ,22,0,,,
8180,Roosevelt High School,Class 130 ,12/22/01,Sink faucet for washing ,20,0,,,
8181,Roosevelt High School,Class 130 (RR) ,12/22/01,Sink faucet for washing ,9,0,,,
8182,Roosevelt High School,Class 131 ,12/22/01,Sink faucet for washing ,0,0,,,
8183,Roosevelt High School,Class 200 ,12/22/01,Sink faucet for washing ,10,0,,,
8184,Roosevelt High School,Class 200 E (1) ,12/22/01,Sink faucet for washing ,0,0,,,
8185,Roosevelt High School,Class 200 E (2) ,12/22/01,Sink faucet for washing ,0,0,,,
8186,Roosevelt High School,Class 200 K ,12/22/01,Sink faucet for washing ,36,0,,,
8187,Roosevelt High School,Class 200 P ,12/22/01,Sink faucet for washing ,20,0,,,
8188,Roosevelt High School,Class 201 (1) ,12/22/01,Sink faucet for washing ,0,0,,,
8189,Roosevelt High School,Class 201 (2) ,12/22/01,Sink faucet for washing ,0,0,,,
8190,Roosevelt High School,Class 201 (3) ,12/22/01,Sink faucet for washing ,11,0,,,
8191,Roosevelt High School,Class 201 Teachers ,12/22/01,Sink faucet for washing ,10,0,,,
8192,Roosevelt High School,Class 203 ,12/22/01,Sink faucet for washing ,9,0,,,
8193,Roosevelt High School,Class 203 Near Hood ,12/22/01,Sink faucet for washing ,12,0,,,
8194,Roosevelt High School,Class 203 Teacher ,12/22/01,Sink faucet for washing ,0,0,,,
8195,Roosevelt High School,Class 204 Teacher ,12/22/01,Sink faucet for washing ,15,0,,,
8196,Roosevelt High School,Class 211 (1) ,12/22/01,Sink faucet for washing ,8,0,,,
8197,Roosevelt High School,Class 211 (2) ,12/22/01,Sink faucet for washing ,23,0,,,
8198,Roosevelt High School,Class 228 ,12/22/01,Sink faucet for washing ,0,0,,,
8199,Roosevelt High School,Class 230 ,12/22/01,Sink faucet for washing ,7,0,,,
8200,Roosevelt High School,Class 231 ,12/22/01,Sink faucet for washing ,13,0,,,
8201,Roosevelt High School,Class B2 ,12/22/01,Sink faucet for washing ,8,0,,,
8202,Roosevelt High School,Class B2 (Closet) ,12/22/01,Sink faucet for washing ,0,0,,,
8203,Roosevelt High School,Class B3 ,12/22/01,Sink faucet for washing ,10,0,,,
8204,Roosevelt High School,Class B4 ,12/22/01,Sink faucet for washing ,11,0,,,
8205,Roosevelt High School,Co-ed Restroom Near Audit/Base ,12/22/01,Sink faucet for washing ,13,0,,,
8206,Roosevelt High School,Dressing Room - East ,12/22/01,Sink faucet for washing ,36,0,,,
8207,Roosevelt High School,Dressing Room - East ,12/22/01,Sink faucet for washing ,32,0,,,
8208,Roosevelt High School,Exam 1 ,12/22/01,Sink faucet for washing ,78,0,,,
8209,Roosevelt High School,Exam 2 ,12/22/01,Sink faucet for washing ,10,0,,,
8210,Roosevelt High School,Exam 3 ,12/22/01,Sink faucet for washing ,52,0,,,
8211,Roosevelt High School,Faculty Office Bathroom ,12/22/01,Sink faucet for washing ,24,0,,,
8212,Roosevelt High School,Faculty Restroom Near Office ,12/22/01,Sink faucet for washing ,0,0,,,
8213,Roosevelt High School,Family Resource ,12/22/01,Sink faucet for washing ,43,0,,,
8214,Roosevelt High School,Girls Coaches Bathroom ,12/22/01,Sink faucet for washing ,20,0,,,
8215,Roosevelt High School,Girls Coaches Office ,12/22/01,Sink faucet for washing ,20,0,,,
8216,Roosevelt High School,Girls Locker Room (1) ,12/22/01,Sink faucet for washing ,0,0,,,
8217,Roosevelt High School,Girls Locker Room (2) ,12/22/01,Sink faucet for washing ,0,0,,,
8218,Roosevelt High School,Girls Restroom ,12/22/01,Sink faucet for washing ,0,0,,,
8219,Roosevelt High School,Girls Restroom - Auditorium ,12/22/01,Sink faucet for washing ,15,0,,,
8220,Roosevelt High School,Girls Restroom - Stage Area ,12/22/01,Sink faucet for washing ,15,0,,,
8221,Roosevelt High School,Girls Restroom 2nd Floor ,12/22/01,Sink faucet for washing ,14,0,,,
8222,Roosevelt High School,Girls Restroom Across 227 (1) ,12/22/01,Sink faucet for washing ,5,0,,,
8223,Roosevelt High School,Girls Restroom Across 227 (2) ,12/22/01,Sink faucet for washing ,0,0,,,
8224,Roosevelt High School,Girls Restroom Across 227 (3) ,12/22/01,Sink faucet for washing ,0,0,,,
8225,Roosevelt High School,Girls Restroom Across 227 (4) ,12/22/01,Sink faucet for washing ,0,0,,,
8226,Roosevelt High School,Girls Restroom Across 227 (5) ,12/22/01,Sink faucet for washing ,0,0,,,
8227,Roosevelt High School,Girls Restroom Music Wing ,12/22/01,Sink faucet for washing ,0,0,,,
8228,Roosevelt High School,Girls Restroom Near 161 ,12/22/01,Sink faucet for washing ,6,0,,,
8229,Roosevelt High School,Girls Restroom Near 161 (2) ,12/22/01,Sink faucet for washing ,8,0,,,
8230,Roosevelt High School,Girls Restroom Near 161 (3) ,12/22/01,Sink faucet for washing ,9,0,,,
8231,Roosevelt High School,Girls Restroom Near 161 (4) ,12/22/01,Sink faucet for washing ,15,0,,,
8232,Roosevelt High School,Girls Restroom Near Elevator (1) ,12/22/01,Sink faucet for washing ,5,0,,,
8233,Roosevelt High School,Girls Restroom Near Elevator (2) ,12/22/01,Sink faucet for washing ,11,0,,,
8234,Roosevelt High School,Girls Restroom Near Elevator (3) ,12/22/01,Sink faucet for washing ,6,0,,,
8235,Roosevelt High School,Girls Restroom Near Elevator (4) ,12/22/01,Sink faucet for washing ,0,0,,,
8236,Roosevelt High School,Girls Restroom Near Elevator (5) ,12/22/01,Sink faucet for washing ,17,0,,,
8237,Roosevelt High School,Girls Restroom Near Elevator (6) ,12/22/01,Sink faucet for washing ,0,0,,,
8238,Roosevelt High School,Girls Restroom Near Elevator (7) ,12/22/01,Sink faucet for washing ,0,0,,,
8239,Roosevelt High School,Girls Restroom Near G133 ,12/22/01,Sink faucet for washing,NULL,0,,,
8240,Roosevelt High School,Girls Restroom Near G133 (2) ,12/22/01,Sink faucet for washing ,0,0,,,
8241,Roosevelt High School,Girls Restroom Near G133 (3) ,12/22/01,Sink faucet for washing ,29,0,,,
8242,Roosevelt High School,Girls Restroom Shop ,12/22/01,Sink faucet for washing ,42,0,,,
8243,Roosevelt High School,Health Center - Kitchen ,12/22/01,Sink faucet for washing ,8,0,,,
8244,Roosevelt High School,Health Center- RQ ,12/22/01,Sink faucet for washing ,25,0,,,
8245,Roosevelt High School,Laboratory ,12/22/01,Sink faucet for washing ,10,0,,,
8246,Roosevelt High School,Laboratory ,12/22/01,Sink faucet for washing ,11,0,,,
8247,Roosevelt High School,Library Faculty Restroom ,12/22/01,Sink faucet for washing ,9,0,,,
8248,Roosevelt High School,Nurses Office ,12/22/01,Sink faucet for washing ,9,0,,,
8249,Roosevelt High School,Photo Lab (1) ,12/22/01,Sink faucet for washing ,12,0,,,
8250,Roosevelt High School,Photo Lab (2) ,12/22/01,Sink faucet for washing ,0,0,,,
8251,Roosevelt High School,Restroom 200 Q ,12/22/01,Sink faucet for washing ,13,0,,,
8252,Roosevelt High School,Room 160 (1) ,12/22/01,Sink faucet for washing ,5,0,,,
8253,Roosevelt High School,Room 160 (2) ,12/22/01,Sink faucet for washing ,5,0,,,
8254,Roosevelt High School,Room 161 (1) ,12/22/01,Sink faucet for washing ,0,0,,,
8255,Roosevelt High School,Room 161 (2) ,12/22/01,Sink faucet for washing ,0,0,,,
8256,Roosevelt High School,Room 161 A ,12/22/01,Sink faucet for washing ,15,0,,,
8257,Roosevelt High School,Room L165 ,12/22/01,Sink faucet for washing ,27,0,,,
8258,Roosevelt High School,Snack Bar ,12/22/01,Sink faucet for washing ,10,0,,,
8259,Roosevelt High School,West Main Building ,12/22/01,Sink faucet for washing ,24,0,,,
8260,Roosevelt High School,Wood Shop ,12/22/01,Sink faucet for washing ,17,0,,,
8261,Roosevelt High School,Wood Shop Teachers Restroom ,12/22/01,Sink faucet for washing ,10,0,,,
8262,Roosevelt High School,Coaches locker room G16 ,1/4/02,Sink for drinking ,70,11,,,
8263,Roosevelt High School,Near room 107 ,1/4/02,Elkay single bubbler ,0,7,,,
8264,Roosevelt High School,Girls Near G133 (1) ,1/5/02,Sink faucet for washing ,16,0,,,
8265,Roosevelt High School,"Near room G136, farthest from stair ",1/7/02,Elkay single bubbler ,0,7,,,
8266,Roosevelt High School,"Near room G136, nearest stairwell ",1/7/02,Elkay single bubbler ,0,7,,,
8267,Rose City Park Elementary Sch,Boiler room ,8/21/01,Service Connection ,10,3,,,
8268,Rose City Park Elementary Sch,Custodial closet ,8/21/01,Service Connection ,4,2,,,
8269,Rose City Park Elementary Sch,Kitchen ,8/21/01,Sink for drinking ,37,4,,,
8270,Rose City Park Elementary Sch,Near north gym (middle annex side) ,8/21/01,Central double bubbler ,85,56,,,
8271,Rose City Park Elementary Sch,Near north gym (middle) ,8/21/01,Central double bubbler ,43,29,,,
8272,Rose City Park Elementary Sch,"Near room 109, middle ",8/21/01,Central double bubbler ,11,6,,,
8273,Rose City Park Elementary Sch,"Near room 17, basement ",8/21/01,Central double bubbler ,9,4,,,
8274,Rose City Park Elementary Sch,"Near room 204, upper ",8/21/01,Central single bubbler ,22,6,,,
8275,Rose City Park Elementary Sch,"Near room 208, upper level ",8/21/01,Central single bubbler ,58,68,,,
8276,Rose City Park Elementary Sch,"Near room 7, basement ",8/21/01,Central double bubbler ,8,5,,,
8277,Rose City Park Elementary Sch,North gym (middle) ,8/21/01,Kohler in-wall fountain ,19,5,,,
8278,Rose City Park Elementary Sch,"Room 100, middle ",8/21/01,Chicago sink drinker ,72,13,,,
8279,Rose City Park Elementary Sch,"Room 103, middle ",8/21/01,Chicago sink drinker ,27,31,,,
8280,Rose City Park Elementary Sch,"Room 112, middle ",8/21/01,Chicago sink drinker ,40,14,,,
8281,Rose City Park Elementary Sch,"Room 118, annex ",8/21/01,Central single bubbler ,7,9,,,
8282,Rose City Park Elementary Sch,"Room 118, annex ",8/21/01,Central single bubbler ,23,25,,,
8283,Rose City Park Elementary Sch,"Room 200, upper ",8/21/01,Chicago sink drinker ,13,8,,,
8284,Rose City Park Elementary Sch,"Room 203, upper ",8/21/01,Chicago sink drinker ,13,9,,,
8285,Rose City Park Elementary Sch,"Room 211, upper ",8/21/01,Chicago sink drinker ,8,8,,,
8286,Rose City Park Elementary Sch,"Room 212, upper ",8/21/01,Chicago sink drinker ,16,6,,,
8287,Rose City Park Elementary Sch,"Room 3, basement ",8/21/01,Chicago sink drinker ,9,5,,,
8288,Rose City Park Elementary Sch,Kitchen ,12/5/01,Sink for drinking ,0,0,,,
8289,Rose City Park Elementary Sch,Near north gym (middle annex side) ,12/5/01,Elkay double bubbler ,0,0,,,
8290,Rose City Park Elementary Sch,Near north gym (middle) ,12/5/01,Elkay double bubbler ,0,0,,,
8291,Rose City Park Elementary Sch,"Near room 204, upper ",12/5/01,Elkay single bubbler ,0,0,,,
8292,Rose City Park Elementary Sch,"Near room 208, upper level ",12/5/01,Elkay single bubbler ,0,0,,,
8293,Rose City Park Elementary Sch,North gym (middle) ,12/5/01,Elkay single bubbler ,0,0,,,
8294,Rose City Park Elementary Sch,"Room 100, middle ",12/5/01,Chicago sink drinker ,0,0,,,
8295,Rose City Park Elementary Sch,"Room 103, middle ",12/5/01,Chicago sink drinker ,0,0,,,
8296,Rose City Park Elementary Sch,"Room 112, middle ",12/5/01,Chicago sink drinker ,0,0,,,
8297,Rose City Park Elementary Sch,"Room 118, annex ",12/5/01,Elkay single bubbler ,0,0,,,
8298,Rose City Park Elementary Sch,"Room 212, upper ",12/5/01,Chicago sink drinker ,0,0,,,
8299,Rose City Park Elementary Sch,Boiler Room sink ,1/4/02,Sink faucet for washing ,6,0,,,
8300,Rose City Park Elementary Sch,Boys Restroom in Basement (2) ,1/4/02,Sink faucet for washing ,6,0,,,
8301,Rose City Park Elementary Sch,Boys Restroom in Basement (3) ,1/4/02,Sink faucet for washing ,7,0,,,
8302,Rose City Park Elementary Sch,Boys Restroom in Basement (4) ,1/4/02,Sink faucet for washing ,5,0,,,
8303,Rose City Park Elementary Sch,Boys Restroom in Basement (5) ,1/4/02,Sink faucet for washing ,0,0,,,
8304,Rose City Park Elementary Sch,Boys Restroom in Basement (r-l) (1) ,1/4/02,Sink faucet for washing ,7,0,,,
8305,Rose City Park Elementary Sch,Boys Restroom in Right Portables (l) in counter,1/4/02,Sink faucet for washing ,16,0,,,
8306,Rose City Park Elementary Sch,Boys Restroom in Right Portables Ã_Â© ,1/4/02,Sink faucet for washing ,13,0,,,
8307,Rose City Park Elementary Sch,Boys Restroom in Right Portables Ã_Ã‚ ,1/4/02,Sink faucet for washing ,10,0,,,
8308,Rose City Park Elementary Sch,Boys Restroom Near PTA (2) ,1/4/02,Sink faucet for washing ,6,0,,,
8309,Rose City Park Elementary Sch,Boys Restroom Near PTA (3) ,1/4/02,Sink faucet for washing ,6,0,,,
8310,Rose City Park Elementary Sch,Boys Restroom Near PTA (4) ,1/4/02,Sink faucet for washing ,6,0,,,
8311,Rose City Park Elementary Sch,Boys Restroom Near PTA (basement) (r-l) -1,1/4/02,Sink faucet for washing ,7,0,,,
8312,Rose City Park Elementary Sch,Custodial Closet in Kitchen ,1/4/02,Sink faucet for washing ,19,0,,,
8313,Rose City Park Elementary Sch,Custodial Closet Near 110 ,1/4/02,Sink faucet for washing ,20,0,,,
8314,Rose City Park Elementary Sch,Girls Restroom in Basement (inner (l)) ,1/4/02,Sink faucet for washing ,7,0,,,
8315,Rose City Park Elementary Sch,Girls Restroom in Basement (inner Ã_Ã‚) ,1/4/02,Sink faucet for washing ,0,0,,,
8316,Rose City Park Elementary Sch,Girls Restroom in Basement (outer (l)) ,1/4/02,Sink faucet for washing ,8,0,,,
8317,Rose City Park Elementary Sch,Girls Restroom in Right Portables (l) ,1/4/02,Sink faucet for washing ,6,0,,,
8318,Rose City Park Elementary Sch,Girls Restroom in Right Portables Ã_Ã‚ ,1/4/02,Sink faucet for washing ,12,0,,,
8319,Rose City Park Elementary Sch,Girls Restroom Near 17 (2) ,1/4/02,Sink faucet for washing ,12,0,,,
8320,Rose City Park Elementary Sch,Girls Restroom Near 17 (3) ,1/4/02,Sink faucet for washing ,10,0,,,
8321,Rose City Park Elementary Sch,Girls Restroom Near 17 (5) ,1/4/02,Sink faucet for washing ,0,0,,,
8322,Rose City Park Elementary Sch,Girls Restroom Near 17 (basement) (r-l) (1) ,1/4/02,Sink faucet for washing ,8,0,,,
8323,Rose City Park Elementary Sch,Kitchen Handwash ,1/4/02,Sink faucet for washing ,16,0,,,
8324,Rose City Park Elementary Sch,Kitchen Restroom ,1/4/02,Sink faucet for washing ,15,0,,,
8325,Rose City Park Elementary Sch,Restroom Across From 204 ,1/4/02,Sink faucet for washing ,8,0,,,
8326,Rose City Park Elementary Sch,Restroom in Nurses Office ,1/4/02,Sink faucet for washing ,10,0,,,
8327,Rose City Park Elementary Sch,Restroom in Room 109 ,1/4/02,Sink faucet for washing ,8,0,,,
8328,Rose City Park Elementary Sch,Room 1 (basement) (l) ,1/4/02,Sink faucet for washing ,53,0,,,
8329,Rose City Park Elementary Sch,Room 1 Ã_Ã‚ ,1/4/02,Sink faucet for washing ,6,0,,,
8330,Rose City Park Elementary Sch,Room 100 ,1/4/02,Sink faucet for washing ,10,0,,,
8331,Rose City Park Elementary Sch,Room 109 (near wall) ,1/4/02,Sink faucet for washing ,10,0,,,
8332,Rose City Park Elementary Sch,Room 112 (main floor) ,1/4/02,Sink faucet for washing ,26,0,,,
8333,Rose City Park Elementary Sch,Room 115 ,1/4/02,Sink faucet for washing ,7,0,,,
8334,Rose City Park Elementary Sch,Room 116 ,1/4/02,Sink faucet for washing ,0,0,,,
8335,Rose City Park Elementary Sch,Room 16 (basement) ,1/4/02,Sink faucet for washing ,13,0,,,
8336,Rose City Park Elementary Sch,Room 17 (basement) ,1/4/02,Sink faucet for washing ,18,0,,,
8337,Rose City Park Elementary Sch,Room 2 (basement) ,1/4/02,Sink faucet for washing ,26,0,,,
8338,Rose City Park Elementary Sch,Room 200 ,1/4/02,Sink faucet for washing ,5,0,,,
8339,Rose City Park Elementary Sch,Room 207 (second floor) ,1/4/02,Sink faucet for washing ,15,0,,,
8340,Rose City Park Elementary Sch,Room 208 Custodian ,1/4/02,Sink faucet for washing ,27,0,,,
8341,Rose City Park Elementary Sch,Room 214/215 ,1/4/02,Sink faucet for washing ,9,0,,,
8342,Rose City Park Elementary Sch,Room 3 (basement) ,1/4/02,Sink faucet for washing ,5,0,,,
8343,Rose City Park Elementary Sch,Room 7 Custodial (basement) ,1/4/02,Sink faucet for washing ,0,0,,,
8344,Rose City Park Elementary Sch,Room 9 Faculty (basement) ,1/4/02,Sink faucet for washing ,8,0,,,
8345,Rose City Park Elementary Sch,Student only Girls Restroom in Basement (outer Ã_Ã‚),1/4/02,Sink faucet for washing ,0,0,,,
8346,Rose City Park Elementary Sch,Unisex Restroom outside Office ,1/4/02,Sink faucet for washing ,7,0,,,
8347,Roseway Heights Middle School,Boiler room ,8/21/01,Service Connection ,63,16,,,
8348,Roseway Heights Middle School,Kitchen ,8/21/01,Sink for drinking ,25,3,,,
8349,Roseway Heights Middle School,Main Gymnasium ,8/21/01,Haws In-Wall Fountain ,2,0,,,
8350,Roseway Heights Middle School,Near Room 103 ,8/21/01,Central double bubbler ,8,3,,,
8351,Roseway Heights Middle School,Near Room 168 ,8/21/01,Central single bubbler ,0,0,,,
8352,Roseway Heights Middle School,Near Room 189 ,8/21/01,Central double bubbler ,4,1,,,
8353,Roseway Heights Middle School,Near Room 238 ,8/21/01,Central double bubbler ,1,0,,,
8354,Roseway Heights Middle School,Room 182 ,8/21/01,Sink for drinking ,13,3,,,
8355,Roseway Heights Middle School,Room 222 ,8/21/01,Central Sink Drinker ,44,9,,,
8356,Roseway Heights Middle School,Room 225 ,8/21/01,Central Sink Drinker ,32,4,,,
8357,Roseway Heights Middle School,West Gymnasium ,8/21/01,Haws In-Wall Fountain ,2,0,,,
8358,Roseway Heights Middle School,Room 222 ,10/12/01,Chicago single bubbler ,0,0,,,
8359,Roseway Heights Middle School,Room 225 ,10/12/01,Elkay single bubbler ,12,0,,,
8360,Roseway Heights Middle School,Kitchen ,10/18/01,Sink for drinking ,23,0,,,
8361,Roseway Heights Middle School,,1/12/02,Sink faucet for washing ,7,0,,,
8362,Roseway Heights Middle School,Boiler Room Restroom ,1/12/02,Sink faucet for washing ,0,0,,,
8363,Roseway Heights Middle School,Boys Coaches Office 155B ,1/12/02,Sink faucet for washing ,0,0,,,
8364,Roseway Heights Middle School,Boys Locker Room 155 ,1/12/02,Sink faucet for washing ,0,0,,,
8365,Roseway Heights Middle School,Boys Restroom 106 (l) ,1/12/02,Sink faucet for washing ,12,0,,,
8366,Roseway Heights Middle School,Boys Restroom 106 Ã_Ã‚ ,1/12/02,Sink faucet for washing ,0,0,,,
8367,Roseway Heights Middle School,Boys Restroom 241 Upstairs (l) ,1/12/02,Sink faucet for washing ,0,0,,,
8368,Roseway Heights Middle School,Boys Restroom 241 Upstairs Ã_Ã‚ ,1/12/02,Sink faucet for washing ,0,0,,,
8369,Roseway Heights Middle School,Boys Restroom Across From Room 189 (l) ,1/12/02,Sink faucet for washing ,0,0,,,
8370,Roseway Heights Middle School,Boys Restroom Across From Room 189 Ã_Ã‚ ,1/12/02,Sink faucet for washing ,0,0,,,
8371,Roseway Heights Middle School,Boys Restroom Upstairs Near Room 203 (l) ,1/12/02,Sink faucet for washing ,15,0,,,
8372,Roseway Heights Middle School,Boys Restroom Upstairs Near Room 203 Ã_Ã‚ ,1/12/02,Sink faucet for washing ,8,0,,,
8373,Roseway Heights Middle School,Boys Restroom Upstairs Near Room 217 (l) ,1/12/02,Sink faucet for washing ,16,0,,,
8374,Roseway Heights Middle School,Boys Restroom Upstairs Near Room 217 Ã_Ã‚ ,1/12/02,Sink faucet for washing ,23,0,,,
8375,Roseway Heights Middle School,Custodial Room 004 in Basement ,1/12/02,Sink faucet for washing ,20,0,,,
8376,Roseway Heights Middle School,Custodial Room 203 Upstairs ,1/12/02,Sink faucet for washing ,0,0,,,
8377,Roseway Heights Middle School,Custodial Room 217 (upstairs) ,1/12/02,Sink faucet for washing ,9,0,,,
8378,Roseway Heights Middle School,Custodial Room 251 Upstairs ,1/12/02,Sink faucet for washing ,21,0,,,
8379,Roseway Heights Middle School,Faculty Restroom Across from Room 189 ,1/12/02,Sink faucet for washing ,0,0,,,
8380,Roseway Heights Middle School,Faculty Restroom Near Room 107 ,1/12/02,Sink faucet for washing ,0,0,,,
8381,Roseway Heights Middle School,Girls Coaches Office 145B ,1/12/02,Sink faucet for washing ,0,0,,,
8382,Roseway Heights Middle School,Girls Locker Room ,1/12/02,Sink faucet for washing ,0,0,,,
8383,Roseway Heights Middle School,Girls Restroom 110 (l) ,1/12/02,Sink faucet for washing ,8,0,,,
8384,Roseway Heights Middle School,Girls Restroom 110 Ã_Ã‚ ,1/12/02,Sink faucet for washing ,8,0,,,
8385,Roseway Heights Middle School,Girls Restroom 245 Upstairs (l) ,1/12/02,Sink faucet for washing ,7,0,,,
8386,Roseway Heights Middle School,Girls Restroom 245 Upstairs Ã_Ã‚ ,1/12/02,Sink faucet for washing ,9,0,,,
8387,Roseway Heights Middle School,Girls Restroom Near Room 184 (l) ,1/12/02,Sink faucet for washing ,0,0,,,
8388,Roseway Heights Middle School,Girls Restroom Near Room 184 Ã_Ã‚ ,1/12/02,Sink faucet for washing ,0,0,,,
8389,Roseway Heights Middle School,Girls Restroom Upstairs Near Room 203 (l) ,1/12/02,Sink faucet for washing ,13,0,,,
8390,Roseway Heights Middle School,Girls Restroom Upstairs Near Room 203 Ã_Ã‚ ,1/12/02,Sink faucet for washing ,9,0,,,
8391,Roseway Heights Middle School,Girls Restroom Upstairs Near Room 215 (l) ,1/12/02,Sink faucet for washing ,21,0,,,
8392,Roseway Heights Middle School,Girls Restroom Upstairs Near Room 215 Ã_Ã‚ ,1/12/02,Sink faucet for washing ,6,0,,,
8393,Roseway Heights Middle School,Kitchen Handwash Sink ,1/12/02,Sink faucet for washing ,0,0,,,
8394,Roseway Heights Middle School,Kitchen Restroom 124B ,1/12/02,Sink faucet for washing ,0,0,,,
8395,Roseway Heights Middle School,Library (upstairs) ,1/12/02,Sink faucet for washing ,0,0,,,
8396,Roseway Heights Middle School,Nurses Room (102C) ,1/12/02,Sink faucet for washing ,0,0,,,
8397,Roseway Heights Middle School,Restroom 215 (upstairs) ,1/12/02,Sink faucet for washing ,0,0,,,
8398,Roseway Heights Middle School,Room 005 Basement ,1/12/02,Sink faucet for washing ,15,0,,,
8399,Roseway Heights Middle School,Room 007 back counter near fish tanks ,1/12/02,Sink faucet for washing ,24,0,,,
8400,Roseway Heights Middle School,Room 007 Basement near back closets ,1/12/02,Sink faucet for washing ,0,0,,,
8401,Roseway Heights Middle School,Room 103 Main Level ,1/12/02,Sink faucet for washing ,0,0,,,
8402,Roseway Heights Middle School,Room 118 ,1/12/02,Sink faucet for washing ,0,0,,,
8403,Roseway Heights Middle School,Room 119 ,1/12/02,Sink faucet for washing ,0,0,,,
8404,Roseway Heights Middle School,Room 123 ,1/12/02,Sink faucet for washing ,0,0,,,
8405,Roseway Heights Middle School,Room 125 ,1/12/02,Sink faucet for washing ,0,0,,,
8406,Roseway Heights Middle School,Room 129 Shop ,1/12/02,Sink faucet for washing ,0,0,,,
8407,Roseway Heights Middle School,Room 143 ,1/12/02,Sink faucet for washing ,12,0,,,
8408,Roseway Heights Middle School,Room 168 (2) ,1/12/02,Sink faucet for washing ,119,0,,,
8409,Roseway Heights Middle School,Room 168 (3) ,1/12/02,Sink faucet for washing ,7,0,,,
8410,Roseway Heights Middle School,Room 168 (4) ,1/12/02,Sink faucet for washing ,7,0,,,
8411,Roseway Heights Middle School,Room 168 (5) ,1/12/02,Sink faucet for washing ,0,0,,,
8412,Roseway Heights Middle School,Room 168 (counter clockwise from door) (1) ,1/12/02,Sink faucet for washing ,0,0,,,
8413,Roseway Heights Middle School,Room 170 (2) ,1/12/02,Sink faucet for washing ,0,0,,,
8414,Roseway Heights Middle School,Room 170 (3) ,1/12/02,Sink faucet for washing ,0,0,,,
8415,Roseway Heights Middle School,Room 170 (4) ,1/12/02,Sink faucet for washing ,0,0,,,
8416,Roseway Heights Middle School,Room 170 (5) ,1/12/02,Sink faucet for washing ,0,0,,,
8417,Roseway Heights Middle School,Room 170 (clockwise from door) (1) ,1/12/02,Sink faucet for washing ,0,0,,,
8418,Roseway Heights Middle School,Room 173 Faculty Restroom ,1/12/02,Sink faucet for washing ,0,0,,,
8419,Roseway Heights Middle School,Room 179 ,1/12/02,Sink faucet for washing ,12,0,,,
8420,Roseway Heights Middle School,Room 182 (2) ,1/12/02,Sink faucet for washing ,11,0,,,
8421,Roseway Heights Middle School,Room 182 (3) ,1/12/02,Sink faucet for washing ,0,0,,,
8422,Roseway Heights Middle School,Room 182 (4) ,1/12/02,Sink faucet for washing ,0,0,,,
8423,Roseway Heights Middle School,Room 182 (5) ,1/12/02,Sink faucet for washing ,0,0,,,
